timestamp,edge_id,u,v,flow,speed,density,congestion_level,rain_intensity,visibility,temperature,event_type,event_impact,time_of_day_factor
2026-02-07 00:00:00,Andheri East-Goregaon,Andheri East,Goregaon,1691.7,37.1,45.5,0.07,0.0,1.0,29.7,None,1.0,0.92
2026-02-07 00:00:00,Andheri East-Vile Parle,Andheri East,Vile Parle,1726.3,36.9,46.7,0.08,0.0,1.0,29.7,None,1.0,0.92
2026-02-07 00:00:00,Andheri East-Andheri West,Andheri East,Andheri West,1830.1,36.2,50.6,0.1,0.0,1.0,29.7,None,1.0,0.92
2026-02-07 00:00:00,Andheri East-Powai,Andheri East,Powai,1664.9,37.3,44.6,0.07,0.0,1.0,29.7,None,1.0,0.92
2026-02-07 00:00:00,Andheri West-Andheri East,Andheri West,Andheri East,1742.6,36.8,47.3,0.08,0.0,1.0,29.7,None,1.0,0.92
2026-02-07 00:00:00,Bandra East-Santacruz,Bandra East,Santacruz,1827.0,36.2,50.4,0.09,0.0,1.0,29.7,None,1.0,0.92
2026-02-07 00:00:00,Bandra East-Dadar East,Bandra East,Dadar East,1731.7,36.9,46.9,0.08,0.0,1.0,29.7,None,1.0,0.92
2026-02-07 00:00:00,Bandra East-Bandra West,Bandra East,Bandra West,1782.9,36.5,48.8,0.09,0.0,1.0,29.7,None,1.0,0.92
2026-02-07 00:00:00,Bandra West-Dadar West,Bandra West,Dadar West,1756.3,36.7,47.8,0.08,0.0,1.0,29.7,None,1.0,0.92
2026-02-07 00:00:00,Bandra West-Bandra East,Bandra West,Bandra East,1573.3,37.8,41.6,0.05,0.0,1.0,29.7,None,1.0,0.92
2026-02-07 00:00:00,Dadar East-Bandra East,Dadar East,Bandra East,1698.5,37.1,45.8,0.07,0.0,1.0,29.7,None,1.0,0.92
2026-02-07 00:00:00,Dadar East-Dadar West,Dadar East,Dadar West,1501.3,38.2,39.3,0.05,0.0,1.0,29.7,None,1.0,0.92
